user_id,ingreso_mensual_mxn,carga_fija_total,gasto_ultimos_15_dias,gasto_acumulado_mes,gasto_real_mes_anterior,historial_mayor_15d,tasa_gasto_diario,gasto_estimado_fin_mes,ingreso_restante_estimado,balance_actual,dias_hasta_deficit,score_riesgo,zona_riesgo,score_anterior,delta_score_mensual,tendencia_riesgo
USR-00001,24500,3891.0,0.0,0.0,1154.08,True,0.0,0.0,20609.0,20609.0,inf,0.15881632653061226,Saludable,0.2059216326530612,-0.04710530612244895,Mejorando
USR-00002,19000,4688.0,0.0,0.0,1396.74,True,0.0,0.0,14312.0,14312.0,inf,0.24673684210526317,Saludable,0.32024947368421053,-0.07351263157894736,Mejorando
USR-00003,14000,3542.0,0.0,0.0,823.49,True,0.0,0.0,10458.0,10458.0,inf,0.253,Saludable,0.3118207142857143,-0.05882071428571428,Mejorando
USR-00004,61000,2195.0,0.0,0.0,2338.12,True,0.0,0.0,58805.0,58805.0,inf,0.03598360655737705,Saludable,0.07431344262295082,-0.038329836065573775,Mejorando
USR-00005,27000,5583.0,0.0,0.0,1444.7399999999998,True,0.0,0.0,21417.0,21417.0,inf,0.20677777777777778,Saludable,0.26028666666666667,-0.053508888888888884,Mejorando
USR-00006,28000,4937.0,0.0,0.0,1315.35,True,0.0,0.0,23063.0,23063.0,inf,0.17632142857142857,Saludable,0.2232982142857143,-0.046976785714285735,Mejorando
USR-00007,32000,1222.27,0.0,0.0,1648.44,True,0.0,0.0,30777.73,30777.73,inf,0.0381959375,Saludable,0.0897096875,-0.05151375,Mejorando
USR-00008,11500,5135.0,0.0,0.0,1322.45,True,0.0,0.0,6365.0,6365.0,inf,0.4465217391304348,Saludable,0.5615173913043479,-0.11499565217391305,Mejorando
USR-00009,19500,2829.27,0.0,0.0,0.0,True,0.0,0.0,16670.73,16670.73,inf,0.14509076923076922,Saludable,0.14509076923076922,0.0,Estable
USR-00010,23500,4091.0,0.0,0.0,2508.5200000000004,True,0.0,0.0,19409.0,19409.0,inf,0.17408510638297872,Saludable,0.28083063829787236,-0.10674553191489364,Mejorando
USR-00011,60000,997.0,0.0,0.0,921.53,True,0.0,0.0,59003.0,59003.0,inf,0.016616666666666665,Saludable,0.0319755,-0.015358833333333332,Mejorando
USR-00012,18000,4268.14,0.0,0.0,1492.47,True,0.0,0.0,13731.86,13731.86,inf,0.2371188888888889,Saludable,0.3200338888888889,-0.08291499999999999,Mejorando
USR-00013,26000,2837.58,0.0,0.0,536.93,True,0.0,0.0,23162.42,23162.42,inf,0.10913769230769231,Saludable,0.12978884615384614,-0.020651153846153833,Mejorando
USR-00014,39000,1219.77,0.0,0.0,1485.4,True,0.0,0.0,37780.23,37780.23,inf,0.03127615384615384,Saludable,0.06936333333333333,-0.03808717948717949,Mejorando
USR-00015,19500,1283.83,0.0,0.0,0.0,True,0.0,0.0,18216.17,18216.17,inf,0.06583743589743589,Saludable,0.06583743589743589,0.0,Estable
USR-00016,18000,4337.07,1497.65,1497.65,0.0,True,99.84333333333332,3095.143333333333,10567.786666666669,12165.28,121.84368844523088,0.41290074074074073,Saludable,0.24094833333333332,0.17195240740740741,Empeorando
USR-00017,25000,1745.0,0.0,0.0,6091.6900000000005,True,0.0,0.0,23255.0,23255.0,inf,0.0698,Saludable,0.3134676,-0.2436676,Mejorando
USR-00018,22000,4054.28,0.0,0.0,63.13,True,0.0,0.0,17945.72,17945.72,inf,0.18428545454545456,Saludable,0.187155,-0.00286954545454543,Mejorando
USR-00019,15500,0.0,0.0,0.0,0.0,True,0.0,0.0,15500.0,15500.0,inf,0.0,Saludable,0.0,0.0,Estable
USR-00020,36500,847.0,0.0,0.0,0.0,True,0.0,0.0,35653.0,35653.0,inf,0.023205479452054794,Saludable,0.023205479452054794,0.0,Estable
USR-00021,20000,847.0,0.0,0.0,1059.65,True,0.0,0.0,19153.0,19153.0,inf,0.04235,Saludable,0.0953325,-0.0529825,Mejorando
USR-00022,36000,2094.0,0.0,0.0,16198.81,True,0.0,0.0,33906.0,33906.0,inf,0.058166666666666665,Saludable,0.508133611111111,-0.44996694444444435,Mejorando
USR-00023,12500,1658.24,0.0,0.0,1309.52,True,0.0,0.0,10841.76,10841.76,inf,0.1326592,Saludable,0.23742080000000002,-0.10476160000000001,Mejorando
USR-00024,51000,749.28,0.0,0.0,4216.42,True,0.0,0.0,50250.72,50250.72,inf,0.014691764705882352,Saludable,0.09736666666666666,-0.08267490196078431,Mejorando
USR-00025,14000,2717.39,332.55,332.55,3634.62,True,22.17,687.27,10595.34,10950.06,493.9133964817321,0.24319,Saludable,0.45371500000000003,-0.21052500000000005,Mejorando
USR-00026,22500,3190.0,0.0,0.0,1169.02,True,0.0,0.0,19310.0,19310.0,inf,0.14177777777777778,Saludable,0.19373422222222225,-0.05195644444444447,Mejorando
USR-00027,23000,2542.0,0.0,0.0,464.55,True,0.0,0.0,20458.0,20458.0,inf,0.11052173913043478,Saludable,0.1307195652173913,-0.020197826086956527,Mejorando
USR-00028,28000,4638.0,0.0,0.0,1544.9399999999998,True,0.0,0.0,23362.0,23362.0,inf,0.16564285714285715,Saludable,0.2208192857142857,-0.05517642857142854,Mejorando
USR-00029,85000,2252.16,0.0,0.0,18614.050000000003,True,0.0,0.0,82747.84,82747.84,inf,0.026496,Saludable,0.2454848235294118,-0.21898882352941182,Mejorando
